paper_id,__conflicts__,age_unit,biomarker_name,biomarker_unit,biomarker_value,blastx_annotation,body_site,country,dna_extraction_kit,feces_phenotype,location,pmid,present_in_n_ibd_samples,sample_id,sequencing_platform,study_name,target_condition
PMID:29183332,,Year,fecal calprotectin; Harvey-Bradshaw Index; SCCAI,not_reported; score; score,23.831,peroxiredoxin,feces,United States,Qiagen,fecal calprotectin,"Massachusetts General Hospital (Boston, MA) and Emory University (Atlanta, GA)",29183332,18,xg001425,IlluminaMiSeq,HalloranA_2017,Inflammatory Bowel Disease; Crohn's Disease; Ulcerative Colitis
PMID:29183332,,Year,fecal calprotectin; Harvey-Bradshaw Index; SCCAI,not_reported; score; score,26.307,NADH oxidase,feces,United States,Qiagen,fecal calprotectin,"Massachusetts General Hospital (Boston, MA) and Emory University (Atlanta, GA)",29183332,36,xg001301,IlluminaMiSeq,HalloranA_2017,Inflammatory Bowel Disease; Crohn's Disease; Ulcerative Colitis
PMID:29183332,,Year,fecal calprotectin; Harvey-Bradshaw Index; SCCAI,not_reported; score; score,25.141,cystathionine beta-lyases/cystathionine gamma-synthases,feces,United States,Qiagen,fecal calprotectin,"Massachusetts General Hospital (Boston, MA) and Emory University (Atlanta, GA)",29183332,19,xg001007,IlluminaMiSeq,HalloranA_2017,Inflammatory Bowel Disease; Crohn's Disease; Ulcerative Colitis
PMID:29183332,{'blastx_annotation': 'prepilin peptidase'},Year,fecal calprotectin; Harvey-Bradshaw Index; SCCAI,not_reported; score; score,29.19,Peptidase A24,feces,United States,Qiagen,fecal calprotectin,"Massachusetts General Hospital (Boston, MA) and Emory University (Atlanta, GA)",29183332,35,xg000685,IlluminaMiSeq,HalloranA_2017,Inflammatory Bowel Disease; Crohn's Disease; Ulcerative Colitis
PMID:29183332,,Year,fecal calprotectin; Harvey-Bradshaw Index; SCCAI,not_reported; score; score,21.716,peptidase M23,feces,United States,Qiagen,fecal calprotectin,"Massachusetts General Hospital (Boston, MA) and Emory University (Atlanta, GA)",29183332,30,xg001228,IlluminaMiSeq,HalloranA_2017,Inflammatory Bowel Disease; Crohn's Disease; Ulcerative Colitis
PMID:29183332,,Year,fecal calprotectin; Harvey-Bradshaw Index; SCCAI,not_reported; score; score,118.871,Collagen adhesin,feces,United States,Qiagen,fecal calprotectin,"Massachusetts General Hospital (Boston, MA) and Emory University (Atlanta, GA)",29183332,35,xg001438,IlluminaMiSeq,HalloranA_2017,Inflammatory Bowel Disease; Crohn's Disease; Ulcerative Colitis
PMID:29183332,,Year,fecal calprotectin; Harvey-Bradshaw Index; SCCAI,not_reported; score; score,124.823,VWA domain-containing protein,feces,United States,Qiagen,fecal calprotectin,"Massachusetts General Hospital (Boston, MA) and Emory University (Atlanta, GA)",29183332,40,xg001440,IlluminaMiSeq,HalloranA_2017,Inflammatory Bowel Disease; Crohn's Disease; Ulcerative Colitis
PMID:29183332,{'blastx_annotation': 'fibronectin [[Ruminococcus] gnavus]'},Year,fecal calprotectin; Harvey-Bradshaw Index; SCCAI,not_reported; score; score,24.075,fibronectin,feces,United States,Qiagen,fecal calprotectin,"Massachusetts General Hospital (Boston, MA) and Emory University (Atlanta, GA)",29183332,27,xg000038,IlluminaMiSeq,HalloranA_2017,Inflammatory Bowel Disease; Crohn's Disease; Ulcerative Colitis
PMID:29183332,{'blastx_annotation': 'ABC transporter substrate-binding protein'},Year,fecal calprotectin; Harvey-Bradshaw Index; SCCAI,not_reported; score; score,20.158,ABC-type Fe3+ transport system,feces,United States,Qiagen,fecal calprotectin,"Massachusetts General Hospital (Boston, MA) and Emory University (Atlanta, GA)",29183332,25,xg000089,IlluminaMiSeq,HalloranA_2017,Inflammatory Bowel Disease; Crohn's Disease; Ulcerative Colitis
PMID:29183332,,Year,fecal calprotectin; Harvey-Bradshaw Index; SCCAI,not_reported; score; score,20.528,iron ABC transporter permease,feces,United States,Qiagen,fecal calprotectin,"Massachusetts General Hospital (Boston, MA) and Emory University (Atlanta, GA)",29183332,19,xg000090,IlluminaMiSeq,HalloranA_2017,Inflammatory Bowel Disease; Crohn's Disease; Ulcerative Colitis
PMID:29183332,,Year,fecal calprotectin; Harvey-Bradshaw Index; SCCAI,not_reported; score; score,19.103,enterochelin esterase,feces,United States,Qiagen,fecal calprotectin,"Massachusetts General Hospital (Boston, MA) and Emory University (Atlanta, GA)",29183332,16,xg001367,IlluminaMiSeq,HalloranA_2017,Inflammatory Bowel Disease; Crohn's Disease; Ulcerative Colitis
PMID:29183332,,Year,fecal calprotectin; Harvey-Bradshaw Index; SCCAI,not_reported; score; score,31.359,putative sialic acid transporter,feces,United States,Qiagen,fecal calprotectin,"Massachusetts General Hospital (Boston, MA) and Emory University (Atlanta, GA)",29183332,22,xg005482,IlluminaMiSeq,HalloranA_2017,Inflammatory Bowel Disease; Crohn's Disease; Ulcerative Colitis
PMID:29183332,,Year,fecal calprotectin; Harvey-Bradshaw Index; SCCAI,not_reported; score; score,348.135,type 2 lantipeptide synthetase LanM,feces,United States,Qiagen,fecal calprotectin,"Massachusetts General Hospital (Boston, MA) and Emory University (Atlanta, GA)",29183332,20,xg001466,IlluminaMiSeq,HalloranA_2017,Inflammatory Bowel Disease; Crohn's Disease; Ulcerative Colitis
